,category,city,company_name,geo,job_title,job_type,post_date,salary_offered,state,url,average_salary,Salary
534,"Manufacturing, Transport & Logistics",Melbourne,ASA Personnel,AU,MR Driver,Casual/Vacation,2018-04-16T23:42:36Z,$31.25 per hour,Bayside & South Eastern Suburbs,https://www.seek.com.au/job/36001246,28.0,28.0
535,Call Centre & Customer Service,Sydney,Randstad - Business Support,AU,Customer Service,Full Time,2018-04-16T06:15:23Z,$65k - $68k p.a. + Superannuation ,North Shore & Northern Beaches,https://www.seek.com.au/job/35996546,66.5,66500.0
536,Accounting,Sydney,Lawson Elliott Recruitment,AU,Financial Accountant,Full Time,2018-04-16T23:46:02Z,$100k - $115k + Super,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/36001331,107.5,107500.0
537,Information & Communication Technology,Brisbane,Embedded Search & Selection,AU,Senior Node Developer x 2,Full Time,2018-04-16T23:53:09Z,Up to $130000.00 p.a.,CBD & Inner Suburbs,https://www.seek.com.au/job/36001434,65000.0,65000.0
538,Legal,Sydney,Charterhouse,AU,Legal Secretary - Workers Compensation,Full Time,2018-04-16T06:47:17Z,"Salary: $65,000 Package","CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35997211,32.5,32500.0
539,Construction,Sydney,SSA Pty Limited,AU,Civil Site Supervisor,Full Time,2018-04-16T22:15:19Z,140000-180000,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35999986,160000.0,160000.0
540,CEO & General Management,Sydney,Momentum Consulting Group Pty Ltd,AU,Business Manager - Document Solutions,Full Time,2018-04-16T06:13:22Z,$100 - $120 p.a. + car allowance + great commissio,Ryde & Macquarie Park,https://www.seek.com.au/job/35996487,110.0,110.0
541,Engineering,Melbourne,Metro Trains Melbourne,AU,Engineering Interface Coordinator,Contract/Temp,2018-04-16T23:31:40Z,"3 year, fixed-term contract",Bayside & South Eastern Suburbs,https://www.seek.com.au/job/36001090,3.0,3.0
542,Call Centre & Customer Service,Sydney,Randstad - Business Support,AU,Call Centre ,Contract/Temp,2018-04-16T06:56:32Z,$28 - $31 p.h.,Parramatta & Western Suburbs,https://www.seek.com.au/job/35997377,29.5,29.5
543,Marketing & Communications,Melbourne,"Randstad - Sales, Marketing & Communications",AU,Digital Marketing Specialist,Full Time,2018-04-16T06:13:31Z,$63k - $70k p.a.,Bayside & South Eastern Suburbs,https://www.seek.com.au/job/35996491,66.5,66500.0
